=== LOGIN + ENTER PLOT FLOW ===
File: c:/sniff/interrior_exterrior_advanced_editor/dumps/dump_12.0.1.66838_2026-04-15_09-35-59.pkt
Total packets: 12615
CMSG_PLAYER_LOGIN   @idx 419
SMSG_LOGIN_VERIFY_WORLD @idx 5393
SMSG_HOUSING_HOUSE_STATUS_RESPONSE @idx 6450
Dumping packets [0..6500]

[  255] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  256] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  257] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  258] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  259] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  260] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  261] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  262] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  263] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  264] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  265] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  266] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  267] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  268] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  269] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  270] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  271] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  272] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  273] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  274] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  275] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  276] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  277] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  278] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  279] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  280] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  281] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  282] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  283] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  284] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  285] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  286] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  287] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  288] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  289] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  290] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  291] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  292] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  293] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  294] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  295] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  296] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  297] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  298] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
[  299] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  300] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  301] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
